causal_utility,e1_classification,example_id,gate,gate_entropy,layer,relative_update_norm,seed,task
-0.05983521789312363,useful,family-00300-maximum,0.9367702603340149,0.2357633025956523,0,0.6989595223897612,11,maximum
0.023545175790786743,useful,family-00300-maximum,0.9570963978767395,0.1770646310300595,1,0.45938119525987386,11,maximum
-0.019371524453163147,useful,family-00300-maximum,0.9611282348632812,0.16434183072043562,2,0.7410233342748859,11,maximum
-0.006814680993556976,useful,family-00300-maximum,0.9781394600868225,0.10519425808153698,3,0.49950364929582214,11,maximum
0.3446894586086273,useful,family-00300-minimum,0.9224454164505005,0.27275580685158707,0,0.5336561178367906,11,minimum
0.060872435569763184,useful,family-00300-minimum,0.9538158178329468,0.18712269059671122,1,0.6500599739533746,11,minimum
0.13079708814620972,useful,family-00300-minimum,0.9610938429832458,0.16445213853303065,2,0.7057773254311032,11,minimum
0.08408671617507935,useful,family-00300-minimum,0.9773007035255432,0.10836609712433032,3,0.4226159179261527,11,minimum
0.0037646181881427765,redundant_or_uncertain,family-00300-sum_mod_10,0.9105634689331055,0.3012322197131392,0,0.3628929297980262,11,sum_mod_10
-0.005935408174991608,redundant_or_uncertain,family-00300-sum_mod_10,0.9391000866889954,0.2294365196386584,1,0.2481277009162709,11,sum_mod_10
0.0040406882762908936,useful,family-00300-sum_mod_10,0.9534922242164612,0.18810129219777397,2,0.4371665683123873,11,sum_mod_10
-0.012891635298728943,candidate_harmful,family-00300-sum_mod_10,0.970139741897583,0.13425607551744934,3,0.42709342866220323,11,sum_mod_10
0.10247451066970825,useful,family-00301-maximum,0.9367702603340149,0.2357633025956523,0,0.46504513858682195,11,maximum
0.7578538656234741,useful,family-00301-maximum,0.9603256583213806,0.16690780354953805,1,0.8948226083134386,11,maximum
0.06874793767929077,useful,family-00301-maximum,0.9630630016326904,0.15808449406590525,2,0.5113571822538485,11,maximum
0.17906564474105835,useful,family-00301-maximum,0.9789287447929382,0.10217946956912094,3,0.645875114275754,11,maximum
-0.0006608492694795132,useful,family-00301-minimum,0.9270114302635193,0.26130173358579645,0,0.5878991828211325,11,minimum
-0.02916134148836136,useful,family-00301-minimum,0.9682158827781677,0.14089026417703318,1,0.6021754064824529,11,minimum
-0.03966166824102402,useful,family-00301-minimum,0.9723194241523743,0.12658478352195,2,0.7006188346137977,11,minimum
-0.008742837235331535,useful,family-00301-minimum,0.9807268381118774,0.09519675018499063,3,0.6107646424317366,11,minimum
-0.009390592575073242,redundant_or_uncertain,family-00301-sum_mod_10,0.9299190044403076,0.25384840690464694,0,0.4089959787810588,11,sum_mod_10
-0.05904977023601532,redundant_or_uncertain,family-00301-sum_mod_10,0.96161949634552,0.1627626996720601,1,0.5105522365289766,11,sum_mod_10
0.03851625323295593,useful,family-00301-sum_mod_10,0.9762083292007446,0.1124496288211458,2,0.6044526673422412,11,sum_mod_10
